Date,Days,Case,Death
03/22/2014,0,49,29
03/31/2014,9,130,82
04/14/2014,23,176,110
05/01/2014,40,239,160
05/12/2014,51,260,182
05/27/2014,66,309,202
06/17/2014,87,528,337
07/02/2014,102,779,481
07/14/2014,114,982,613
07/23/2014,123,1201,672
07/30/2014,130,1437,825
08/09/2014,140,1835,1011
08/16/2014,147,2225,1225
08/31/2014,162,3664,1794
09/14/2014,176,5327,2578
09/28/2014,190,7169,3278
10/12/2014,204,8950,4476
10/19/2014,211,9911,4890
11/02/2014,225,13015,5188
11/18/2014,241,15291,5765
11/30/2014,253,17110,6397
12/14/2014,267,18565,7273
12/28/2014,281,20171,7890
01/11/2015,295,21226,8399
01/25/2015,309,22022,8780
02/08/2015,323,22824,9147
02/22/2015,337,23659,9574
03/08/2015,351,24282,9976
03/22/2015,365,24837,10296
04/05/2015,379,25480,10557
04/19/2015,393,26009,10793
05/03/2015,407,26558,10990
05/17/2015,421,26898,11105
05/31/2015,435,27110,11132
06/14/2015,449,27305,11169
06/21/2015,456,27443,11207
06/28/2015,463,27514,11220
07/05/2015,470,27573,11246
07/12/2015,477,27642,11261
07/26/2015,491,27748,11279
08/09/2015,505,27929,11283
08/16/2015,512,27952,11284
08/30/2015,526,28073,11290
09/06/2015,533,28147,11291
09/13/2015,540,28220,11291
09/20/2015,547,28295,11295
09/27/2015,554,28388,11296
10/11/2015,568,28454,11297
10/18/2015,575,28476,11298
10/25/2015,582,28539,11298
11/04/2015,592,28607,11314
11/11/2015,599,28635,11314
11/18/2015,606,28634,11314
11/25/2015,613,28637,11314
